date,actual_price,forecast_price_ag,forecast_price_naive,actual_log_return,forecast_log_return_ag,forecast_log_return_naive,forecast_volatility_ag,forecast_variance_ag,forecast_variance_ewma,actual_variance_proxy,var_thresh_ag,es_ag,violation_ag,var_thresh_ewma,es_ewma,violation_ewma
2023-09-17,1622.89672852,1631.26459045,1635.22167969,-0.00756572,-0.00242284,0.00000000,0.01925195,0.00037064,0.00025412,0.00005724,-0.02080197,-0.03730633,0,-0.02622095,-0.03288213,0
2023-09-18,1637.34704590,1618.81757202,1622.89672852,0.00886462,-0.00251667,0.00000000,0.01969218,0.00038778,0.00024231,0.00007858,-0.02112037,-0.03791260,0,-0.02560426,-0.03210877,0
2023-09-19,1643.54467773,1632.98207525,1637.34704590,0.00377802,-0.00266944,0.00000000,0.02196460,0.00048244,0.00023249,0.00001427,-0.02354409,-0.04233129,0,-0.02507987,-0.03145116,0
2023-09-20,1622.89062500,1639.90718990,1643.54467773,-0.01264640,-0.00221565,0.00000000,0.01836404,0.00033724,0.00021939,0.00015993,-0.02136796,-0.03772580,0,-0.02436343,-0.03055272,0
2023-09-21,1584.30700684,1618.77985528,1622.89062500,-0.02406180,-0.00253621,0.00000000,0.02073848,0.00043008,0.00021583,0.00057897,-0.02310963,-0.04121459,1,-0.02416452,-0.03030329,0
2023-09-22,1593.26831055,1579.13284669,1584.30700684,0.00564036,-0.00327123,0.00000000,0.02272910,0.00051661,0.00023761,0.00003181,-0.02838868,-0.04898516,0,-0.02535497,-0.03179616,0
2023-09-23,1593.85778809,1589.47099506,1593.26831055,0.00036991,-0.00238619,0.00000000,0.01949691,0.00038013,0.00022527,0.00000014,-0.02349312,-0.04106816,0,-0.02468737,-0.03095896,0
2023-09-24,1580.85339355,1589.62550411,1593.85778809,-0.00819254,-0.00265890,0.00000000,0.01883324,0.00035469,0.00021176,0.00006712,-0.02205072,-0.03874741,0,-0.02393576,-0.03001641,0
2023-09-25,1588.32287598,1576.28436631,1580.85339355,0.00471384,-0.00289441,0.00000000,0.01930102,0.00037253,0.00020308,0.00002222,-0.02196007,-0.03877786,0,-0.02344015,-0.02939490,0
2023-09-26,1593.41723633,1584.15488303,1588.32287598,0.00320225,-0.00262760,0.00000000,0.02112764,0.00044638,0.00019223,0.00001025,-0.02218222,-0.04000431,0,-0.02280529,-0.02859876,0
2023-09-27,1597.49121094,1589.16316674,1593.41723633,0.00255349,-0.00267335,0.00000000,0.02090363,0.00043696,0.00018131,0.00000652,-0.02165186,-0.03909833,0,-0.02214816,-0.02777469,0
2023-09-28,1652.88269043,1593.59674288,1597.49121094,0.03408644,-0.00244084,0.00000000,0.01967849,0.00038724,0.00017082,0.00116189,-0.02082088,-0.03750175,0,-0.02149807,-0.02695945,0
2023-09-29,1667.94384766,1652.12405997,1652.88269043,0.00907079,-0.00045908,0.00000000,0.04021736,0.00161744,0.00023029,0.00008228,-0.03482780,-0.06720226,0,-0.02496095,-0.03130204,0
2023-09-30,1671.16186523,1665.84406118,1667.94384766,0.00192747,-0.00125970,0.00000000,0.02684891,0.00072086,0.00022141,0.00000372,-0.02462525,-0.04648296,0,-0.02447494,-0.03069256,0
2023-10-01,1733.81042480,1668.94110167,1671.16186523,0.03680243,-0.00132976,0.00000000,0.02099976,0.00044099,0.00020834,0.00135442,-0.02015776,-0.03755921,0,-0.02374204,-0.02977348,0
2023-10-02,1663.62756348,1737.78695668,1733.81042480,-0.04132105,0.00229090,0.00000000,0.04378851,0.00191743,0.00027711,0.00170743,-0.03365803,-0.06800544,1,-0.02738119,-0.03433712,1
2023-10-03,1656.68566895,1661.65661289,1663.62756348,-0.00418148,-0.00118543,0.00000000,0.04435051,0.00196697,0.00036293,0.00001748,-0.04275658,-0.08042155,0,-0.03133556,-0.03929606,0
2023-10-04,1647.83813477,1653.83154879,1656.68566895,-0.00535481,-0.00172427,0.00000000,0.02529035,0.00063960,0.00034220,0.00002867,-0.02273852,-0.04273409,0,-0.03042763,-0.03815748,0
2023-10-05,1611.47644043,1644.96239140,1647.83813477,-0.02231340,-0.00174669,0.00000000,0.02205142,0.00048627,0.00032339,0.00049789,-0.02307667,-0.04210349,0,-0.02957947,-0.03709385,0
2023-10-06,1645.83154297,1607.98313390,1611.47644043,0.02109495,-0.00217012,0.00000000,0.02894273,0.00083768,0.00033386,0.00044500,-0.02865529,-0.05291811,0,-0.03005448,-0.03768953,0
2023-10-07,1634.51123047,1641.57749642,1645.83154297,-0.00690194,-0.00258809,0.00000000,0.02645306,0.00069976,0.00034053,0.00004764,-0.03127311,-0.05512957,0,-0.03035314,-0.03806406,0
2023-10-08,1633.54858398,1631.26096026,1634.51123047,-0.00058912,-0.00199051,0.00000000,0.02304079,0.00053088,0.00032295,0.00000035,-0.02483689,-0.04494748,0,-0.02955955,-0.03706887,0
2023-10-09,1579.80664062,1630.01843330,1633.54858398,-0.03345223,-0.00216337,0.00000000,0.02304379,0.00053102,0.00030360,0.00111905,-0.02489711,-0.04496454,1,-0.02866003,-0.03594084,1
2023-10-10,1567.71301270,1577.26417799,1579.80664062,-0.00768458,-0.00161065,0.00000000,0.03572400,0.00127620,0.00035253,0.00005905,-0.03352690,-0.06306880,0,-0.03088320,-0.03872878,0
2023-10-11,1566.25476074,1563.52634488,1567.71301270,-0.00093061,-0.00267413,0.00000000,0.03289247,0.00108191,0.00033492,0.00000087,-0.02907385,-0.05448487,0,-0.03010203,-0.03774916,0
2023-10-12,1539.61242676,1561.92412092,1566.25476074,-0.01715655,-0.00276879,0.00000000,0.03283253,0.00107797,0.00031487,0.00029435,-0.02891644,-0.05414653,0,-0.02918741,-0.03660219,0
2023-10-13,1552.08947754,1535.45887595,1539.61242676,0.00807136,-0.00270144,0.00000000,0.03020398,0.00091228,0.00031364,0.00006515,-0.03080603,-0.05635758,0,-0.02913027,-0.03653053,0
2023-10-14,1555.25683594,1547.28262376,1552.08947754,0.00203863,-0.00310183,0.00000000,0.02748822,0.00075560,0.00029873,0.00000416,-0.03085880,-0.05503997,0,-0.02842945,-0.03565168,0
2023-10-15,1558.06982422,1551.09818981,1555.25683594,0.00180706,-0.00267751,0.00000000,0.02951965,0.00087141,0.00028106,0.00000327,-0.02973046,-0.05449713,0,-0.02757561,-0.03458093,0
2023-10-16,1600.53430176,1555.60450692,1558.06982422,0.02688975,-0.00158354,0.00000000,0.02621171,0.00068705,0.00026439,0.00072306,-0.02539136,-0.04727326,0,-0.02674546,-0.03353988,0
2023-10-17,1565.43957520,1593.92735701,1600.53430176,-0.02217085,-0.00413651,0.00000000,0.02849664,0.00081206,0.00029191,0.00049155,-0.03613974,-0.06205027,0,-0.02810296,-0.03524225,0
2023-10-18,1563.74987793,1568.80673394,1565.43957520,-0.00107996,0.00214863,0.00000000,0.02312995,0.00053499,0.00030389,0.00000117,-0.02532709,-0.04648424,0,-0.02867375,-0.03595804,0
2023-10-19,1567.45703125,1561.77155966,1563.74987793,0.00236788,-0.00126591,0.00000000,0.02181784,0.00047602,0.00028573,0.00000561,-0.02581417,-0.04565890,0,-0.02780364,-0.03486688,0
2023-10-20,1604.66687012,1564.98944711,1567.45703125,0.02346160,-0.00157550,0.00000000,0.02242354,0.00050282,0.00026892,0.00055045,-0.02563273,-0.04579323,0,-0.02697350,-0.03382586,0
2023-10-21,1629.30444336,1598.20951341,1604.66687012,0.01523702,-0.00403223,0.00000000,0.02834450,0.00080341,0.00028581,0.00023217,-0.03494754,-0.06054977,0,-0.02780775,-0.03487204,0
2023-10-22,1663.42993164,1626.01330689,1629.30444336,0.02072849,-0.00202201,0.00000000,0.02571029,0.00066102,0.00028259,0.00042967,-0.03004124,-0.05325911,0,-0.02765073,-0.03467513,0
2023-10-23,1765.38269043,1661.30278315,1663.42993164,0.05948579,-0.00127959,0.00000000,0.02627982,0.00069063,0.00029142,0.00353856,-0.03081454,-0.05471268,0,-0.02807915,-0.03521239,0
2023-10-24,1784.43750000,1768.21396006,1765.38269043,0.01073575,0.00160249,0.00000000,0.04702211,0.00221108,0.00048624,0.00011526,-0.05026485,-0.09285669,0,-0.03627059,-0.04548479,0
2023-10-25,1787.39758301,1787.43938252,1784.43750000,0.00165746,0.00168084,0.00000000,0.02850366,0.00081246,0.00046399,0.00000275,-0.02513578,-0.04938969,0,-0.03543067,-0.04443149,0
2023-10-26,1804.03930664,1789.70262668,1787.39758301,0.00926751,0.00128878,0.00000000,0.02822269,0.00079652,0.00043631,0.00008589,-0.02483731,-0.04864668,0,-0.03435780,-0.04308607,0
2023-10-27,1780.04528809,1807.23834588,1804.03930664,-0.01338940,0.00177169,0.00000000,0.02935964,0.00086199,0.00041529,0.00017928,-0.02517229,-0.04982377,0,-0.03351974,-0.04203511,0
