date,actual_price,forecast_price_ag,forecast_price_naive,actual_log_return,forecast_log_return_ag,forecast_log_return_naive,forecast_volatility_ag,forecast_variance_ag,forecast_variance_ewma,actual_variance_proxy,var_thresh_ag,es_ag,violation_ag,var_thresh_ewma,es_ewma,violation_ewma
2023-09-17,18.83162880,19.03668106,19.14036942,-0.01626185,-0.00543199,0.00000000,0.03051204,0.00093098,0.00094445,0.00026445,-0.05559416,-0.06854767,0,-0.05054939,-0.06339098,0
2023-09-18,19.65724564,18.73668021,18.83162880,0.04290817,-0.00505473,0.00000000,0.03013482,0.00090811,0.00090365,0.00184111,-0.05459767,-0.06738394,0,-0.04944548,-0.06200662,0
2023-09-19,20.03618813,19.57016504,19.65724564,0.01909404,-0.00443979,0.00000000,0.03046117,0.00092788,0.00095989,0.00036458,-0.05452821,-0.06738349,0,-0.05096112,-0.06390730,0
2023-09-20,20.30493736,19.96751548,20.03618813,0.01332403,-0.00343332,0.00000000,0.03053990,0.00093269,0.00092418,0.00017753,-0.05364503,-0.06658160,0,-0.05000397,-0.06270700,0
2023-09-21,19.47907066,20.23667204,20.30493736,-0.04152349,-0.00336767,0.00000000,0.03020465,0.00091232,0.00087938,0.00172420,-0.05302734,-0.06582844,0,-0.04877697,-0.06116828,0
2023-09-22,19.43814468,19.41886951,19.47907066,-0.00210323,-0.00309534,0.00000000,0.03062463,0.00093787,0.00093007,0.00000442,-0.05345454,-0.06636311,0,-0.05016308,-0.06290653,0
2023-09-23,19.47390366,19.37882287,19.43814468,0.00183794,-0.00305649,0.00000000,0.03007658,0.00090460,0.00087453,0.00000338,-0.05250754,-0.06523943,0,-0.04864229,-0.06099940,0
2023-09-24,19.37429047,19.38930693,19.47390366,-0.00512834,-0.00435357,0.00000000,0.02984043,0.00089045,0.00082226,0.00002630,-0.05340810,-0.06610304,0,-0.04716627,-0.05914840,0
2023-09-25,19.40414047,19.28946193,19.37429047,0.00153952,-0.00438802,0.00000000,0.02739068,0.00075025,0.00077450,0.00000237,-0.04943247,-0.06095273,0,-0.04577605,-0.05740501,0
2023-09-26,19.02328682,19.32299484,19.40414047,-0.01982262,-0.00419064,0.00000000,0.02735651,0.00074838,0.00072817,0.00039294,-0.04917675,-0.06069972,0,-0.04438586,-0.05566166,0
2023-09-27,19.13002205,18.93325192,19.02328682,0.00559509,-0.00474411,0.00000000,0.02768917,0.00076669,0.00070806,0.00003130,-0.05028050,-0.06191781,0,-0.04376854,-0.05488751,0
2023-09-28,19.95761681,19.05313322,19.13002205,0.04235193,-0.00402737,0.00000000,0.02719820,0.00073974,0.00066745,0.00179369,-0.04874629,-0.06025650,0,-0.04249501,-0.05329045,0
2023-09-29,20.30065536,19.89925730,19.95761681,0.01704230,-0.00292846,0.00000000,0.02992121,0.00089528,0.00073503,0.00029044,-0.05212230,-0.06480184,0,-0.04459428,-0.05592302,0
2023-09-30,21.39514732,20.24317035,20.30065536,0.05251097,-0.00283570,0.00000000,0.02785094,0.00077567,0.00070835,0.00275740,-0.04863866,-0.06033969,0,-0.04377760,-0.05489888,0
2023-10-01,23.83648682,21.36663095,21.39514732,0.10805333,-0.00133373,0.00000000,0.03224663,0.00103984,0.00083130,0.01167552,-0.05436678,-0.06790605,0,-0.04742474,-0.05947254,0
2023-10-02,23.37170029,23.85735594,23.83648682,-0.01969157,0.00087513,0.00000000,0.07223034,0.00521722,0.00148195,0.00038776,-0.11786985,-0.14855395,0,-0.06332044,-0.07940638,0
2023-10-03,23.55269432,23.38163138,23.37170029,0.00771432,0.00042483,0.00000000,0.02890675,0.00083560,0.00141630,0.00005951,-0.04707826,-0.05949835,0,-0.06190198,-0.07762758,0
2023-10-04,23.14478683,23.56860233,23.55269432,-0.01747066,0.00067519,0.00000000,0.02674910,0.00071551,0.00133489,0.00030522,-0.04329014,-0.05472497,0,-0.06009662,-0.07536359,0
